Job Title,Company,Location,Postal Code,Street,Region,Country,Latitude,Longitude,Job Reference Number,Job URL
Data Scientist,bank99 AG,Wien,1020,N/A,Wien,Österreich,0.0,0.0,11949-16712694-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Buhl Data Service GmbH,Mannheim,68159,N/A,Baden-Württemberg,Deutschland,49.4942012,8.454464,13635-c32eacb4_JB4651056-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Academic Work Germany GmbH,N/A,N/A,N/A,Niedersachsen,Deutschland,0.0,0.0,12953-AW_536275LS-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,NKD Group GmbH,Bindlach,95463,N/A,Bayern,Deutschland,49.9940186,11.6065257,14543-15215-1629669-0-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,FERCHAU GmbH Niederlassung Ulm,Biberach an der Riß,88400,N/A,Baden-Württemberg,Deutschland,48.08984335960012,9.785248621245938,12265-392065_JB4683457-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Ratbacher GmbH,Bielefeld,33611,N/A,Nordrhein-Westfalen,Deutschland,52.0492335,8.5469242,12288-4108405055-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Page Personnel Deutschland,Frankfurt am Main,N/A,N/A,Hessen,Deutschland,50.1225349,8.6425499,13643-536879LS-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,NTT DATA Business Solutions Global Managed Services GmbH,Oldenburg (Oldb),26135,N/A,Niedersachsen,Deutschland,53.121951,8.2535709,11956-2420081741474801-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Bertelsmann SE & Co. KGaA,Hamburg,20459,N/A,Hamburg,Deutschland,53.5474112,9.9789708,13660-43225984-37-S,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,BMW AG,München,80809,N/A,Bayern,Deutschland,48.1794095,11.5532292,12462-1343346-1-S,https://jobboerse.arbeitsagentur.de/vamJB/
